character,line
Monica, I mean  why should I let them meet him? I mean  I bring a guy home  and within five minutes they're all over him. I mean  they're like- coyotes  picking off the weak members of the herd.
Monica, I know. I just wish that once  I'd bring a guy home that they actually liked.
Joey, Let it go  Ross.
Ross, Yeah  well  you didn't know Chi Chi.
Monica, Do you all promise?
Monica,  Chandler? Do you promise to be good?
Joey, You can come in  but your filter-tipped little buddy has to stay outside!
Ross, Hey  Pheebs.
Phoebe, 'Dear Ms. Buffay. Thank you for calling attention to our error. We have credited your account with five hundred dollars. We're sorry for the inconvenience  and hope you'll accept this-  -football phone as our free gift.' Do you believe this?! Now I have a thousand dollars  and a football phone!
Rachel, What bank is this?
Monica, Hey. It's him.  Who is it?
Joey,  Chandler! He's here!
Monica,  Okay  please be good  please. Just remember how much you all like me.
Monica, Hi. Alan  this is everybody. Everybody  this is Alan.
Monica,  Thanks. I'll call you tomorrow.  Okay. Okay  let's let the Alan-bashing begin. Who's gonna take the first shot  hmm?
Monica, C'mon!
Ross, ...I'll go. Let's start with the way he kept picking at- no  I'm sorry  I can't do this  can't do this. We loved him.
Monica, Wait a minute! We're talking about someone that I'm going out with?
Rachel, And did you notice...? 
Joey, Know what was great? The way his smile was kinda crooked.
Phoebe, Yes  yes! Like the man in the shoe!
Ross, ...What shoe?
Phoebe, From the nursery rhyme. 'There was a crooked man  Who had a crooked smile  Who lived in a shoe  For a... while...'
Ross, ...So I think Alan will become the yardstick against which all future boyfriends will be measured.
Rachel, What future boyfriends? Nono  I th- I think this could be  y'know  it.
Monica, Really!
Chandler, Oh  yeah. I'd marry him just for his David Hasselhof impression alone. You know I'm gonna be doing that at parties  right? 
Ross, You know what I like most about him  though?
Ross, The way he makes me feel about myself.
Monica, Hi.. how was the game?
Ross, Well..
Monica, Fantastic! I have one question: How is that possible?
Joey, Alan.
Ross, He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions  right  but instead of Bugs it was first base-Alan  second base-Alan  third base-...
Rachel, I mean  it-it was like  it was like he made us into a team.
Chandler, Yep  we sure showed those Hassidic jewellers a thing or two about softball..
Monica, Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..
Ross, What?
Monica, ..I dunno  a little too Alan?
Rachel, Well  no. That's impossible. You can never be too Alan.
Ross, Yeah  it's his  uh  innate Alan-ness that-that-that we adore.
Chandler, I personally could have a gallon of Alan.
Phoebe, Hey  Lizzie.
Phoebe, I brought you alphabet soup.
Phoebe," Yes. But I left in the Ys. 'Cause  y'know  ""sometimes y"". Uh  I also have something else for you. "
Phoebe, No  but would you like a thousand dollars and a football phone?
Phoebe, I know.
Phoebe, No  I want you to have it. I don't want it.
Phoebe, Oh  that's fine  no.
Phoebe, No. 'Cause you need that. No  it's okay  thanks.
Phoebe, Okay  alright  you buy me a soda  and then we're even. Okay?
Phoebe, Okay.
Phoebe, No  I'm fine.
Phoebe, Huh!
Ross, A thumb?!
Phoebe, I know! I know  I opened it up and there it was  just floating in there  like this tiny little hitch-hiker!
Chandler, Well  maybe it's a contest  y'know? Like  collect all five?
Phoebe, Does  um  anyone wanna see?
Rachel, It's worse than the thumb!
Chandler, Hey  this is so unfair!
Monica, Oh  why is it unfair?
Chandler, So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross  with his over-pronouncing every single word? And Monica  with that snort when she laughs? I mean  what the hell is that thing? ...I accept all those flaws  why can't you accept me for this?
Joey, ...Does the knuckle-cracking bother everybody?
Rachel, Well  I-I could live without it.
Joey, Well  is it  like  a little annoying  or is it like when Phoebe chews her hair?
Ross, Oh  now  don't listen to him  Pheebs  I think it's endearing.
Joey," Oh   ""you do  do you""?"
Ross, You know  there's nothing wrong with speaking correctly.
Rachel," ""Indeed there isn't""... I should really get back to work."
Phoebe, Yeah  'cause otherwise someone might get what they actually ordered.
Rachel, Ohh-ho-hooohhh. The hair comes out  and the gloves come on.
Monica, Did you ever go out with a guy your friends all really like?
Monica, Okay.. Well  I'm going out with a guy my friends all really like.
Monica, Can you believe it? ...Y'know what? I just don't feel the thing. I mean  they feel the thing  I don't feel the thing.
Monica, I know.. it's gonna be really hard.
Monica, No  he'll be fine. It's the other five I'm worried about.
Joey, Do you have any respect for your body?
Ross, Don't you realise what you're-you're doing to yourself?
Chandler, Hey  y'know  I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is  smoking is cool  and you know it.
Rachel,  Chandler? It's Alan  he wants to speak to you.
Chandler, Really? He does?  Hey  buddy  what's up! Oh  she told you about that  huh. Well  yeah  I have one now and then. Well  yeah  now. Well  it's not that big- ..well  that's true .. Gee  y'know  no-one- no-one's ever put it like that before. Well  okay  thanks! 
Rachel,  God  he's good.
Ross, If only he were a woman.
Rachel, Yeah.
Chandler, Ooh  Lambchop. How old is that sock? If I had a sock on my hand for thirty years it'd be talking too.
Ross, Okay. I think it's time to change somebody's nicotine patch. 
Monica,  Hey. Where's Joey?
Chandler, Joey ate my last stick of gum  so I killed him. Do you think that was wrong?
Rachel, I think he's across the hall.
Monica, Thanks. 
Ross,  There y'go.
Chandler,  Ooh  I'm alive with pleasure now.
Ross, Hey Pheebs  you gonna have the rest of that Pop-Tart?.. Pheebs?
Phoebe, Does anyone want the rest of this Pop-Tart?
Ross, Hey  I might!
Phoebe, Sorry. ..Y'know  those stupid soda people gave me seven thousand dollars for the thumb.
Phoebe, And on my way over here  I stepped in gum. ...What is up with the universe?!
Joey,  What's going on?
Monica, Nothing. I just think it's nice when we're all here together.
Joey, Even nicer when everyone gets to wear their underwear..
Rachel, Uh  Joey..
Joey, Oh  God! 
Monica,  Okay..
Monica, Please  guys  we have to talk.
Phoebe, Wait  wait  I'm getting a deja vu...no  I'm not.
Monica, Alright  we have to talk.
Phoebe, There it is!
Monica, Okay. It's-it's about Alan. There's something that you should know. I mean  there's really no easy way to say this.. uh.. I've decided to break up with Alan.
Ross, Is there somebody else?
Monica, No  nononono.. it's just.. things change. People change.
Rachel, We didn't change..
Joey, So that's it? It's over? Just like that?
Phoebe, You know.. you let your guard down  you start to really care about someone  and I just- I- 
Monica, Look  I- I could go on pretending-
Joey, Okay!
Monica, -but that wouldn't be fair to me  it wouldn't be fair to Alan- It wouldn't be fair to you!
Ross, Who-who wants fair? Y'know  I just want things back. Y'know  the way they were.
Monica, I'm sorry..
Chandler,  Oh  she's sorry! I feel better!
Rachel,  I just can't believe this! I mean  with the holidays coming up- I wanted him to meet my family-
Monica, I'll meet somone else. There'll be other Alans.
Monica, Are you guys gonna be okay?
Ross, Hey hey  we'll be fine. We're just gonna need a little time.
Monica,  I understand.
Monica, I'm  I'm really sorry.
Monica, Relieved?
Rachel, Remember when we went to Central Park and rented boats?.. That was fun.
Ross, Yeah. He could row like a viking.
Monica,  Hi.
Ross, So how'd it go?
Monica, Oh  y'know..
Phoebe, Did he mention us?
Monica, He said he's really gonna miss you guys. 
Ross, You had a rough day  huh.. c'mere. 
Chandler, ...That's it. I'm getting cigarettes.
Chandler,  I don't care  I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!
Phoebe,  If you never smoke again I'll give you seven thousand dollars!
Chandler,  Yeah  alright.
Monica, Alright. Phoebe?
Phoebe, Okay  okay. If I were omnipotent for a day  I would want  um  world peace  no more hunger  good things for the rain-forest...And bigger boobs!
Ross, Yeah  see.. you took mine. Chandler  what about you?
Chandler, Uh  if I were omnipotent for a day  I'd.. make myself omnipotent forever.
Rachel," See  there's always one guy.  ""If I had a wish  I'd wish for three more wishes."" "
Monica, Hey  Joey  what would you do if you were omnipotent?
Joey, Probably kill myself!
Monica, ..Excuse me?
Joey, Hey  if Little Joey's dead  then I got no reason to live!
Ross, Joey  uh- OMnipotent.
Joey, You are? Ross  I'm sorry..
Monica, How does she do that?
Ross, I cannot sleep in a public place.
Monica, Would you look at her? She is so peaceful.
Phoebe,  Oh! What what what! ...Hi.
Ross, It's okay  y'know  you just nodded off again.
Monica, What's going on with you?
Phoebe, I got no sleep last night!
Ross, Why?
Phoebe, My grandmother has this new boyfriend  and they're both kind of insecure in bed. Oh  and deaf. So they're constantly  like  having to reassure each other that they're having a good time. You have no idea how loud they are!
Monica, Well  if you want  you can stay with Rachel and me tonight.
Phoebe, Thanks.
Joey, ...Ninety-five  ninety-six  ninety-seven. See  I told you! Less than a hundred steps from our place to here.
Chandler, You got waaaay too much free time.
Joey,  Hey! Here's the birthday boy! Ross  check it out: hockey tickets  Rangers-Penguins  tonight at the Garden  and we're taking you.
Chandler, Happy birthday  pal!
Joey, We love you  man. 
Ross, Funny  my birthday was seven months ago.
Joey, So?
Ross, So  I'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?
Chandler," Well  aren't we Mr. ""The glass is half empty."""
Ross, Oh my God  oh- is today the twentieth  October twentieth?
Monica, Oh  I was hoping you wouldn't remember.
Ross, Ohhh.
Joey, What's wrong with the twentieth?
Chandler, Eleven days before Halloween.. all the good costumes are gone?
Ross, Today's the day Carol and I first.. consummated our physical relationship.  Sex. ..You know what  I-I'd better pass on the game. I think I'm just gonna go home and think about my ex-wife and her lesbian lover.
Joey, The hell with hockey  let's all do that!
Chandler,  C'mon  Ross! You  me  Joey  ice  guys' night out  c'mon  whaddya say  big guy   Huh? Huh? Huh?
Ross, What are you doing?
Chandler,  I have no idea.
Joey, C'mon  Ross!
Ross, Alright  alright  maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?
Chandler, You got it.
Rachel, Look-look-look-look-look  my first pay check! Look at the window  there's my name! Hi  me!
Phoebe, I remember the day I got my first pay check. There was a cave in in one of the mines  and eight people were killed.
Monica, Wow  you worked in a mine?
Phoebe, I worked in a Dairy Queen  why?
Rachel, God  isn't this exciting? I earned this. I wiped tables for it  I steamed milk for it  and it was totally——not worth it. Who's FICA? Why's he getting all my money? I mean  what- Chandler  look at that.
Chandler,  Oh  this is not that bad.
Joey, Oh  you're fine  yeah  for a first job.
Ross, You can totally  totally live on this.
Monica, Yeah  yeah.
Ross, Oh  by the way  great service tonight.
Rachel, Oh my God! (Rachel  Leslie  Kiki  and Joanne all scream and hug each other.
Monica,  I swear I've seen birds do this on Wild Kingdom.
Rachel, What are you guys doing here?
Rachel,  Look at you  you are so big I can't believe it!
Rachel,  So what's going on with you?
Phoebe,  Look  look  I have elbows! 
